pdf, Part No.,Series Name,Size ( Dimension),Tolerance,T.C.R,Rated Power,Resistance Value
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE11K,MMF204FRE11K,MMF,0.4W,±1%,±50ppm/°C,11 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE120K,MMF204FRE120K,MMF,0.4W,±1%,±50ppm/°C,120 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE120R,MMF204FRE120R,MMF,0.4W,±1%,±50ppm/°C,120,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE12K,MMF204FRE12K,MMF,0.4W,±1%,±50ppm/°C,12 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE12R,MMF204FRE12R,MMF,0.4W,±1%,±50ppm/°C,12,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE133K,MMF204FRE133K,MMF,0.4W,±1%,±50ppm/°C,133 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE14R7,MMF204FRE14R7,MMF,0.4W,±1%,±50ppm/°C,14.7,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE150K,MMF204FRE150K,MMF,0.4W,±1%,±50ppm/°C,150 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE150R,MMF204FRE150R,MMF,0.4W,±1%,±50ppm/°C,150,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE15K,MMF204FRE15K,MMF,0.4W,±1%,±50ppm/°C,15 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE15R,MMF204FRE15R,MMF,0.4W,±1%,±50ppm/°C,15,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE16K,MMF204FRE16K,MMF,0.4W,±1%,±50ppm/°C,16 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE16R9,MMF204FRE16R9,MMF,0.4W,±1%,±50ppm/°C,16.9,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE180R,MMF204FRE180R,MMF,0.4W,±1%,±50ppm/°C,180,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE1K,MMF204FRE1K,MMF,0.4W,±1%,±50ppm/°C,1 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE1K1,MMF204FRE1K1,MMF,0.4W,±1%,±50ppm/°C,1 100,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE1K2,MMF204FRE1K2,MMF,0.4W,±1%,±50ppm/°C,1 200,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE1K5,MMF204FRE1K5,MMF,0.4W,±1%,±50ppm/°C,1 500,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE1K6,MMF204FRE1K6,MMF,0.4W,±1%,±50ppm/°C,1 600,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE1K62,MMF204FRE1K62,MMF,0.4W,±1%,±50ppm/°C,1 620,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE1K8,MMF204FRE1K8,MMF,0.4W,±1%,±50ppm/°C,1 800,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE1R,MMF204FRE1R,MMF,0.4W,±1%,±50ppm/°C,1,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE1R1,MMF204FRE1R1,MMF,0.4W,±1%,±50ppm/°C,1.1,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE1R3,MMF204FRE1R3,MMF,0.4W,±1%,±50ppm/°C,1.3,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE1R5,MMF204FRE1R5,MMF,0.4W,±1%,±50ppm/°C,1.5,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE1R8,MMF204FRE1R8,MMF,0.4W,±1%,±50ppm/°C,1.8,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE200K,MMF204FRE200K,MMF,0.4W,±1%,±50ppm/°C,200 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE20K,MMF204FRE20K,MMF,0.4W,±1%,±50ppm/°C,20 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE20R,MMF204FRE20R,MMF,0.4W,±1%,±50ppm/°C,20,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE220R,MMF204FRE220R,MMF,0.4W,±1%,±50ppm/°C,220,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE22K,MMF204FRE22K,MMF,0.4W,±1%,±50ppm/°C,22 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE22R,MMF204FRE22R,MMF,0.4W,±1%,±50ppm/°C,22,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE22R1,MMF204FRE22R1,MMF,0.4W,±1%,±50ppm/°C,22.1,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE232K,MMF204FRE232K,MMF,0.4W,±1%,±50ppm/°C,232 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE240R,MMF204FRE240R,MMF,0.4W,±1%,±50ppm/°C,240,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE249K,MMF204FRE249K,MMF,0.4W,±1%,±50ppm/°C,249 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE24K,MMF204FRE24K,MMF,0.4W,±1%,±50ppm/°C,24 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE24R3,MMF204FRE24R3,MMF,0.4W,±1%,±50ppm/°C,24.3,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE26K7,MMF204FRE26K7,MMF,0.4W,±1%,±50ppm/°C,26 700,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE270R,MMF204FRE270R,MMF,0.4W,±1%,±50ppm/°C,270,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE27K,MMF204FRE27K,MMF,0.4W,±1%,±50ppm/°C,27 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE27R,MMF204FRE27R,MMF,0.4W,±1%,±50ppm/°C,27,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE2K,MMF204FRE2K,MMF,0.4W,±1%,±50ppm/°C,2 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE2K15,MMF204FRE2K15,MMF,0.4W,±1%,±50ppm/°C,2 150,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE2K2,MMF204FRE2K2,MMF,0.4W,±1%,±50ppm/°C,2 200,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE2K21,MMF204FRE2K21,MMF,0.4W,±1%,±50ppm/°C,2 210,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE2K4,MMF204FRE2K4,MMF,0.4W,±1%,±50ppm/°C,2 400,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE2R,MMF204FRE2R,MMF,0.4W,±1%,±50ppm/°C,2,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE2R4,MMF204FRE2R4,MMF,0.4W,±1%,±50ppm/°C,2.4,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE30K,MMF204FRE30K,MMF,0.4W,±1%,±50ppm/°C,30 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE30R,MMF204FRE30R,MMF,0.4W,±1%,±50ppm/°C,30,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE330K,MMF204FRE330K,MMF,0.4W,±1%,±50ppm/°C,330 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE330R,MMF204FRE330R,MMF,0.4W,±1%,±50ppm/°C,330,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE332K,MMF204FRE332K,MMF,0.4W,±1%,±50ppm/°C,332 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE33K,MMF204FRE33K,MMF,0.4W,±1%,±50ppm/°C,33 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE33K2,MMF204FRE33K2,MMF,0.4W,±1%,±50ppm/°C,33 200,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE33R,MMF204FRE33R,MMF,0.4W,±1%,±50ppm/°C,33,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE33R2,MMF204FRE33R2,MMF,0.4W,±1%,±50ppm/°C,33.2,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE365K,MMF204FRE365K,MMF,0.4W,±1%,±50ppm/°C,365 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE36K,MMF204FRE36K,MMF,0.4W,±1%,±50ppm/°C,36 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE36R,MMF204FRE36R,MMF,0.4W,±1%,±50ppm/°C,36,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE390R,MMF204FRE390R,MMF,0.4W,±1%,±50ppm/°C,390,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE392K,MMF204FRE392K,MMF,0.4W,±1%,±50ppm/°C,392 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE39R,MMF204FRE39R,MMF,0.4W,±1%,±50ppm/°C,39,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE3K3,MMF204FRE3K3,MMF,0.4W,±1%,±50ppm/°C,3 300,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE3K9,MMF204FRE3K9,MMF,0.4W,±1%,±50ppm/°C,3 900,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE3R01,MMF204FRE3R01,MMF,0.4W,±1%,±50ppm/°C,3.01,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE3R3,MMF204FRE3R3,MMF,0.4W,±1%,±50ppm/°C,3.3,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE3R4,MMF204FRE3R4,MMF,0.4W,±1%,±50ppm/°C,3.4,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE442R,MMF204FRE442R,MMF,0.4W,±1%,±50ppm/°C,442,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE464K,MMF204FRE464K,MMF,0.4W,±1%,±50ppm/°C,464 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE470K,MMF204FRE470K,MMF,0.4W,±1%,±50ppm/°C,470 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE470R,MMF204FRE470R,MMF,0.4W,±1%,±50ppm/°C,470,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE47K,MMF204FRE47K,MMF,0.4W,±1%,±50ppm/°C,47 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE47R,MMF204FRE47R,MMF,0.4W,±1%,±50ppm/°C,47,
